channel_name	ids	id_c	max_scanned_at	criteria_by_avg
CongthegreatTV	408997622583590	1	2021-04-27 00:00:00	100000
geloodv	112931127123477	1	2020-10-12 00:00:00	100000
realmePhilippines	286608955477734	1	2021-08-26 00:00:00	100000
MobileLegendsOnlinePH	765707316915993	1	2021-08-21 00:00:00	100000
S.TARBOUN	172565773527960	1	2021-08-31 00:00:00	100000
minkhant789	351823392234064	1	2021-04-29 00:00:00	100000
Hsgaminglivestream	100040041683804	1	2021-08-01 00:00:00	100000
AlaminGamingYT0	101307214959265	1	2021-07-25 00:00:00	100000
thekjimmy	100359078064421	1	2021-08-20 00:00:00	100000
mpl.id.official	2447124061969985	1	2021-01-24 00:00:00	100000
MobileLegendsGameMyanmar	1614032582016082	1	2021-01-24 00:00:00	100000
jodama95	412771052818715	1	2020-12-06 00:00:00	100000
MobileLegendsGameMalaysia	429900087357505	1	2021-07-18 00:00:00	50000
ashleygamechannel	109271063791134	1	2021-09-05 00:00:00	50000
arigameplays	715083851878643	1	2021-09-04 00:00:00	50000
haroon383	111513620212669	1	2021-08-23 00:00:00	50000
bochanhkz	2386924678025279	1	2021-04-01 00:00:00	50000
botempa	2386924678025279	1	2021-05-05 00:00:00	50000
GhazawiGaming	280270435885602	1	2021-05-08 00:00:00	50000
bolicam	2386924678025279	1	2021-05-22 00:00:00	50000
BattleIQ	1501735683412669	1	2021-06-18 00:00:00	50000
fanjigiovans	"1848687041917994, 4268700714"	2	2021-08-27 00:00:00	50000
danfoxgaming	423764544725193	1	2021-07-13 00:00:00	50000
bobimgmeb	2386924678025279	1	2021-07-23 00:00:00	50000
BKCGaming01	102750621491497	1	2020-09-30 00:00:00	50000
borimmo	2386924678025279	1	2021-05-03 00:00:00	50000
bobimkg	2386924678025279	1	2021-01-21 00:00:00	50000
ngaantoitv	100399661764505	1	2021-08-13 00:00:00	50000
justmobilelegends	"978844548970222, 27375342"	2	2021-08-30 00:00:00	50000
AnittaOficial	162731380454099	1	2020-11-22 00:00:00	50000
TheGodFather.esports	108815214311080	1	2021-01-15 00:00:00	50000
boyenke	2386924678025279	1	2021-05-12 00:00:00	50000
